county,set_play,shot_outcome,shot_pressure,assist_type,build_up_passes,shot_method,distance_from_goal
Armagh,Open Play,Point,Medium,Hand Pass,6,Right Foot,39.11521443
Down,Open Play,Point,Low,Hand Pass,7,Left Foot,17.02938637
Armagh,Free Kick from Hands,Point,Low,Free Kick Won,3,Right Foot,21.21320344
Down,Free Kick from Hands,Wide,Low,Free Kick Won,4,Right Foot,46
Down,Open Play,Wide,Low,Hand Pass,15,Right Foot,46.09772229
Armagh,Open Play,Wide,Medium,Hand Pass,3,Right Foot,41.62931659
Down,Open Play,Point,Low,Free Kick Won,4,Left Foot,22.20360331
Armagh,Free Kick from Hands,Point,Low,Free Kick Won,0,Right Foot,46
Armagh,Open Play,Point,Low,Kick Pass,19,Right Foot,35.60898763
Armagh,Open Play,Goal,Low,Hand Pass,1,Right Foot,6.403124237
Armagh,Open Play,Point,Low,Kick Pass,3,Right Foot,28.7923601
Down,Open Play,Wide,Low,Kick Pass,1,Left Foot,30
Down,Open Play,Point,Low,Kick Pass,7,Fisted Point,16.15549442
Armagh,Free Kick from Hands,Point,Low,Free Kick Won,19,Right Foot,42.19004622
Down,Open Play,Short,Medium,Kick Pass,9,Right Foot,32.24903099
Down,Open Play,Goal,Low,Hand Pass,5,Right Foot,11.66190379
Down,Open Play,Wide,Medium,Hand Pass,11,Right Foot,34.71310992
Down,Free Kick from Hands,Point,Low,Free Kick Won,8,Left Foot,36.61966685
Down,Open Play,Point,Low,Hand Pass,7,Left Foot,42
Armagh,Open Play,Wide,Medium,Hand Pass,2,Left Foot,28.60069929
Armagh,Open Play,Wide,Low,Kick Pass,1,Left Foot,32.75667871
Dublin,Open Play,Point,Low,Kick Pass,2,Right Foot,29.96664813
Kerry,Open Play,Wide,Medium,Hand Pass,9,Left Foot,25
Kerry,Open Play,Point,Medium,Kick Pass,2,Right Foot,22.47220505
Dublin,Open Play,Point,Low,Hand Pass,1,Right Foot,33.83784863
Dublin,Free Kick from Hands,Point,Low,Free Kick Won,3,Right Foot,19
Dublin,Open Play,Wide,Low,Hand Pass,1,Right Foot,42.80186912
Kerry,Open Play,Saved,Medium,Hand Pass,16,Right Foot,8.062257748
Dublin,Open Play,Short,Medium,Hand Pass,16,Right Foot,36.40054945
Kerry,Open Play,Short,Medium,Kick Pass,10,Left Foot,32.52691193
Kerry,Open Play,Wide,Low,Hand Pass,7,Right Foot,32.24903099
Kerry,Open Play,Point,Medium,Kick Pass,4,Right Foot,22.627417
Kerry,Penalty,Saved,Low,Free Kick Won,5,Right Foot,11
Kerry,45m Kick,Point,Low,Possession Recovered,0,Right Foot,47.4341649
Kerry,Open Play,Point,Medium,Kick Pass,2,Left Foot,13.60147051
Kerry,Open Play,Wide,Low,Hand Pass,4,Right Foot,39.59797975
Kerry,Open Play,Wide,Low,Hand Pass,4,Right Foot,42.95346319
Dublin,Open Play,Point,Medium,Kick Pass,1,Fisted Point,11.66190379
Kerry,Free Kick from Hands,Point,Low,Free Kick Won,4,Right Foot,19.79898987
