,shot_id,game,events,county,province,shot_type,set_play,shot_outcome,shot_pressure,assist_type,build_up_passes,shot_method,match_outcome,winning_margin,championship_stage,distance_from_goal,angle
143,Shot_144,Dublin v Kerry,Shot,Kerry,Munster,Point Attempt,Open Play,Point,Medium,Kick Pass,1.0,Left Foot,Draw,Draw,AI Final,34.05877273,-49.76364169
144,Shot_145,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Open Play,Wide,Medium,Kick Pass,4.0,Left Foot,Draw,Draw,AI Final,36.23534186,-50.59933934
145,Shot_146,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,1.0,Right Foot,Draw,Draw,AI Final,29.73213749,19.65382406
146,Shot_147,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Open Play,Point,Medium,Hand Pass,16.0,Right Foot,Draw,Draw,AI Final,36.138622,14.42077313
147,Shot_148,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Open Play,Short,Medium,Hand Pass,8.0,Left Foot,Draw,Draw,AI Final,37.10795063,-14.03624347
148,Shot_149,Dublin v Kerry,Shot,Kerry,Munster,Goal Attempt,Open Play,Goal,Medium,Hand Pass,4.0,Left Foot,Draw,Draw,AI Final,14.86606875,-19.65382406
149,Shot_150,Dublin v Kerry,Shot,Kerry,Munster,Point Attempt,Open Play,Wide,Low,Kickout Won,0.0,Right Foot,Draw,Draw,AI Final,35.60898763,-38.15722659
150,Shot_151,Dublin v Kerry,Shot,Kerry,Munster,Point Attempt,Open Play,Point,Low,Hand Pass,6.0,Right Foot,Draw,Draw,AI Final,35.4682957,49.57392126
151,Shot_152,Dublin v Kerry,Shot,Kerry,Munster,Point Attempt,Open Play,Point,High,Hand Pass,10.0,Right Foot,Draw,Draw,AI Final,17.80449381,-51.84277341
152,Shot_153,Dublin v Kerry,Shot,Kerry,Munster,Point Attempt,Open Play,Short,Low,Hand Pass,2.0,Left Foot,Draw,Draw,AI Final,29.41088234,-54.68878656
153,Shot_154,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Free Kick from Hands,Point,Low,Free Kick Won,0.0,Right Foot,Draw,Draw,AI Final,22.02271555,-50.52754015
154,Shot_155,Dublin v Kerry,Shot,Kerry,Munster,Point Attempt,Open Play,Point,Low,Hand Pass,4.0,Left Foot,Draw,Draw,AI Final,28.0,0.0
155,Shot_156,Dublin v Kerry,Shot,Kerry,Munster,Point Attempt,Open Play,Point,Medium,Hand Pass,2.0,Left Foot,Draw,Draw,AI Final,25.61249695,51.34019175
156,Shot_157,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Open Play,Wide,Low,Hand Pass,9.0,Right Foot,Draw,Draw,AI Final,41.14608122,25.94229549
157,Shot_158,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Open Play,Wide,Low,Hand Pass,5.0,Right Foot,Draw,Draw,AI Final,32.55764119,-42.51044708
158,Shot_159,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Open Play,Wide,Low,Hand Pass,7.0,Right Foot,Draw,Draw,AI Final,45.0,0.0
159,Shot_160,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Open Play,Point,Low,Hand Pass,3.0,Right Foot,Draw,Draw,AI Final,39.62322551,-42.95459151
160,Shot_161,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Open Play,Short,Medium,Hand Pass,9.0,Left Foot,Draw,Draw,AI Final,43.8634244,46.84761027
161,Shot_162,Dublin v Kerry,Shot,Dublin,Leinster,Point Attempt,Free Kick from Ground,Wide,Low,Free Kick Won,9.0,Right Foot,Draw,Draw,AI Final,51.03920062,-55.37584492
