year,sucid_in_hundredk
1995,149.13
1996,234.93
1997,225.26
1998,236.42
1999,165.74
2000,80.24
2001,105.38
2002,143.22
2003,128.48
2004,124.5
2005,92.64
2006,166.74
2007,159.84
2008,156.71
2009,157.10999999999999
2010,241.97
2011,221.10999999999999
2012,239.01
2013,142.92000000000002
2014,222.04
2015,229.68
2016,213.56
