year,sucid_in_hundredk
1990,41.12
1991,45.87
1992,40.86
1993,51.05
1994,66.73
1995,51.79
1996,37.05
1997,32.23
1998,27.42
1999,24.68
2000,34.3
2001,29.78
2002,38.07
2003,33.43
2006,43.67
2007,39.019999999999996
2008,35.15
2009,33.7
2010,40.410000000000004
2011,32.980000000000004
2012,36.57
2013,37.48
2014,37.01
2015,45.28
2016,40.56
